"","AtBat","Hits","HmRun","Runs","RBI","Walks","Years","CAtBat","CHits","CHmRun","CRuns","CRBI","CWalks","PutOuts","Assists","Errors","Salary","Weight","Height","LeagueA","LeagueN","DivisionE","DivisionW","NewLeagueA","NewLeagueN"
"Al Newman",185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70000,175,69,0,1,1,0,1,0
"Alan Ashby",315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475000,185,74,0,1,0,1,0,1
"Alan Trammell",574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517143,165,72,1,0,1,0,1,0
"Alan Wiggins",239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,7e+05,160,74,1,0,1,0,1,0
"Alex Trevino",202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512500,165,70,0,1,0,1,0,1
"Alfredo Griffin",594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750000,160,71,1,0,0,1,1,0
"Alvin Davis",479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480000,195,73,1,0,0,1,1,0
"Andre Dawson",496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,5e+05,180,75,0,1,1,0,0,1
"Andre Thornton",401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100000,200,75,1,0,1,0,1,0
"Andres Galarraga",321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,91500,235,75,0,1,1,0,0,1
"Andres Thomas",323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75000,170,73,0,1,0,1,0,1
"Andy Allanson",293,66,1,30,29,14,1,293,66,1,30,29,14,446,33,20,60000,220,77,1,0,1,0,1,0
"Andy VanSlyke",418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550000,200,74,0,1,1,0,0,1
"Argenis Salazar",298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,1e+05,150,70,1,0,0,1,1,0
"Barry Bonds",413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,1e+05,185,73,0,1,1,0,0,1
"Ben Oglivie",346,98,5,31,53,30,16,5913,1615,235,784,901,560,0,0,0,766593,160,74,1,0,1,0,1,0
"Bill Almon",196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240000,180,75,0,1,1,0,0,1
"Bill Buckner",629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,776667,185,72,1,0,1,0,1,0
"Bill Doran",550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625000,175,71,0,1,0,1,0,1
"Bill Madlock",379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850000,180,71,0,1,0,1,0,1
"Bill Russell",216,54,0,21,18,15,18,7318,1926,46,796,627,483,103,84,5,45000,175,72,0,1,0,1,0,1
"Bill Schroeder",217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180000,200,74,1,0,1,0,1,0
"Billy Beane",183,39,3,20,15,11,3,201,42,3,20,16,11,118,0,0,65000,195,76,1,0,0,1,1,0
"Billy Hatcher",419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110000,175,69,0,1,0,1,0,1
"Billy Sample",200,57,6,23,14,14,9,2516,684,46,371,230,195,69,1,1,470000,175,69,0,1,0,1,0,1
"BillyJo Robidoux",181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,67500,165,74,1,0,1,0,1,0
"Bip Roberts",241,61,1,34,12,14,1,241,61,1,34,12,14,166,172,10,60000,150,67,0,1,0,1,0,1
"Bo Diaz",474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,750000,185,71,0,1,0,1,0,1
"Bob Boone",22,10,1,4,2,1,6,84,26,2,9,9,3,812,84,11,853479,195,74,1,0,0,1,1,0
"Bob Brenly",472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,6e+05,210,74,0,1,0,1,0,1
"Bob Dernier",324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,708333,160,72,0,1,1,0,0,1
"Bob Horner",517,141,27,70,87,52,9,3571,994,215,545,652,337,1378,102,8,1800000,195,73,0,1,0,1,0,1
"Bob Kearney",204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,3e+05,190,72,1,0,0,1,1,0
"Bob Melvin",268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,90000,205,76,0,1,0,1,0,1
"Bobby Bonilla",426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,115000,210,75,1,0,0,1,0,1
"Bobby Grich",313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,127,221,7,5e+05,180,74,1,0,0,1,1,0
"Brett Butler",587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,765000,160,70,1,0,1,0,1,0
"Brian Downing",513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,9e+05,170,70,1,0,0,1,1,0
"Brook Jacoby",583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,612500,175,71,1,0,1,0,1,0
"Bruce Bochte",407,104,6,57,43,65,12,5233,1478,100,643,658,653,912,88,9,572500,195,75,1,0,0,1,1,0
"Bruce Bochy",127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,135000,205,75,0,1,0,1,0,1
"Buddy Bell",568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,775000,180,73,0,1,0,1,0,1
"Buddy Biancalana",190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,175000,160,71,1,0,0,1,1,0
"Butch Wynegar",194,40,7,19,29,30,11,4183,1069,64,486,493,608,325,22,2,733333,190,73,1,0,1,0,1,0
"Cal Ripken",627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,1350000,200,76,1,0,1,0,1,0
"Candy Maldonado",405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,415000,185,72,0,1,0,1,0,1
"Carlton Fisk",457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,875000,200,75,1,0,0,1,1,0
"Carmelo Martinez",244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,340000,190,74,0,1,0,1,0,1
"Carmen Castillo",205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,247500,190,74,1,0,1,0,1,0
"Carney Lansford",591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,1200000,195,74,1,0,0,1,1,0
"Cecil Cooper",542,140,12,46,75,41,16,7099,2130,235,987,1089,431,697,61,9,607322,165,74,1,0,1,0,1,0
"Charlie Moore",235,61,3,24,39,21,14,3926,1029,35,441,401,333,425,43,4,402500,180,71,1,0,1,0,1,0
"Chet Lemon",403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,675000,190,72,1,0,1,0,1,0
"Chili Davis",526,146,13,71,70,84,6,2648,715,77,352,342,289,303,9,9,815000,195,75,0,1,0,1,0,1
"Chris Bando",254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305000,195,72,1,0,1,0,1,0
"Chris Brown",416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215000,185,72,0,1,0,1,0,1
"Chris Speier",155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,275000,175,73,0,1,1,0,0,1
"Cliff Johnson",19,7,0,1,2,1,4,41,13,1,3,4,4,0,0,0,725000,215,76,1,0,1,0,1,0
"Cory Snyder",416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90000,175,76,1,0,1,0,1,0
"Craig Reynolds",313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,416667,175,73,0,1,0,1,0,1
"Curt Ford",214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,70000,150,70,0,1,1,0,0,1
"Curt Wilkerson",236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230000,158,69,1,0,0,1,1,0
"Dale Murphy",614,163,29,89,83,75,11,5017,1388,266,813,822,617,303,6,6,1900000,210,76,0,1,0,1,0,1
"Dale Sveum",317,78,7,35,35,32,1,317,78,7,35,35,32,45,122,26,70000,185,74,1,0,1,0,1,0
"Damaso Garcia",424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850000,165,73,1,0,1,0,0,1
"Dan Gladden",351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210000,180,71,0,1,0,1,1,0
"Dan Pasqua",280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,110000,203,72,1,0,1,0,1,0
"Dann Bilardello",191,37,4,12,17,14,4,773,163,16,61,74,52,391,38,8,80000,185,72,0,1,1,0,0,1
"Danny Heep",195,55,5,24,33,30,8,1313,338,25,144,149,153,83,2,1,350000,185,71,0,1,1,0,0,1
"Danny Tartabull",511,138,25,76,96,61,3,592,164,28,87,110,71,157,7,8,145000,185,73,1,0,0,1,1,0
"Darnell Coles",521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105000,185,73,1,0,1,0,1,0
"Darrell Evans",507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,535000,200,74,1,0,1,0,1,0
"Darrell Porter",155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,260000,193,72,1,0,0,1,1,0
"Darren Daulton",138,31,8,18,21,38,3,244,53,12,33,32,55,244,21,4,80000,195,74,0,1,1,0,0,1
"Darryl Motley",227,46,7,23,20,12,5,1325,324,44,156,158,67,92,2,2,257500,196,69,1,0,0,1,1,0
"Darryl Strawberry",475,123,27,76,93,72,4,1810,471,108,292,343,267,226,10,6,1220000,190,78,0,1,1,0,0,1
"Daryl Boston",199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,75000,185,75,1,0,0,1,1,0
"Dave Anderson",216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225000,185,74,0,1,0,1,0,1
"Dave Collins",419,113,1,44,27,44,12,4484,1231,32,612,344,422,211,2,1,7e+05,175,71,1,0,1,0,1,0
"Dave Concepcion",311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,320000,155,74,0,1,0,1,0,1
"Dave Henderson",388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325000,210,74,1,0,0,1,1,0
"Dave Kingman",561,118,35,70,94,33,16,6677,1575,442,901,1210,608,463,32,8,730000,210,78,1,0,0,1,1,0
"Dave Parker",637,174,31,89,116,56,14,6727,2024,247,978,1093,495,278,9,9,1041667,230,77,0,1,0,1,0,1
"Dave Winfield",565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,292,9,5,1861460,220,78,1,0,1,0,1,0
"Davey Lopes",255,70,7,49,35,43,15,6311,1661,154,1019,608,820,51,54,8,450000,170,69,0,1,1,0,0,1
"Denny Walling",382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,595000,180,72,0,1,0,1,0,1
"Dick Schofield",458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,475000,175,70,1,0,0,1,1,0
"Dickie Thon",278,69,3,24,21,29,8,2079,565,32,258,192,162,142,210,10,6e+05,160,71,0,1,0,1,0,1
"Don Baylor",585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,950000,190,73,1,0,1,0,1,0
"Don Mattingly",677,238,31,117,113,53,5,2223,737,93,349,401,171,1377,100,6,1975000,175,72,1,0,1,0,1,0
"Don Slaught",314,83,13,39,46,16,5,1457,405,28,156,159,76,533,40,4,431500,190,73,1,0,0,1,1,0
"Donnie Hill",339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275000,160,70,1,0,0,1,1,0
"Doug DeCinces",512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850000,190,74,1,0,0,1,1,0
"Dwayne Murphy",329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,6e+05,185,73,1,0,0,1,1,0
"Dwight Evans",529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,933333,180,74,1,0,1,0,1,0
"Ed Romero",233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,375000,160,71,1,0,1,0,1,0
"Eddie Milner",424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,490000,173,71,0,1,0,1,0,1
"Eddie Murray",495,151,17,61,84,78,10,5624,1679,275,884,1015,709,1045,88,13,2460000,190,74,1,0,1,0,1,0
"Enos Cabell",277,71,2,27,29,14,15,5952,1647,60,753,596,259,360,32,5,450000,170,76,0,1,0,1,0,1
"Eric Davis",415,115,27,97,71,68,3,711,184,45,156,119,99,274,2,7,3e+05,165,74,0,1,0,1,0,1
"Ernie Whitt",395,106,16,48,56,35,10,2303,571,86,266,323,248,709,41,7,325000,200,74,1,0,1,0,1,0
"Floyd Rayford",210,37,8,15,19,15,6,994,244,36,107,114,53,40,115,15,310000,190,70,1,0,1,0,1,0
"Frank White",566,154,22,76,84,43,14,6100,1583,131,743,693,300,316,439,10,750000,165,71,1,0,0,1,1,0
"Franklin Stubbs",420,95,23,55,58,37,3,646,139,31,77,77,61,206,10,7,65000,215,74,0,1,0,1,0,1
"Fred Lynn",397,114,23,67,67,53,13,5589,1632,241,906,926,716,244,2,4,1190000,185,73,1,0,1,0,1,0
"Garry Templeton",510,126,2,42,44,35,11,5562,1578,44,703,519,256,207,358,20,737500,175,71,0,1,0,1,0,1
"Garth Iorg",327,85,3,30,44,20,8,2140,568,16,216,208,93,91,185,12,362500,170,71,1,0,1,0,1,0
"Gary Carter",490,125,24,81,105,62,13,6063,1646,271,847,999,680,869,62,8,1925571,205,74,0,1,1,0,0,1
"Gary Gaetti",596,171,34,91,108,52,6,2862,728,107,361,401,224,118,334,21,9e+05,180,72,1,0,0,1,1,0
"Gary Matthews",370,96,21,49,46,60,15,6986,1972,231,1070,955,921,137,5,9,733333,185,74,0,1,1,0,0,1
"Gary Pettis",539,139,5,93,58,69,5,1469,369,12,247,126,198,462,9,7,4e+05,165,73,1,0,0,1,1,0
"Gary Redus",340,84,11,62,33,47,5,1516,376,42,284,141,219,185,8,4,4e+05,180,73,0,1,1,0,1,0
"Gary Ward",380,120,5,54,51,31,8,3118,900,92,444,419,240,237,8,1,6e+05,195,74,1,0,0,1,1,0
"George Bell",641,198,31,101,108,41,5,2129,610,92,297,319,117,269,17,10,1175000,190,73,1,0,1,0,1,0
"George Brett",441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,97,218,16,1500000,185,72,1,0,0,1,1,0
"George Foster",284,64,14,30,42,24,18,7023,1925,348,986,1239,666,96,4,4,60000,180,73,0,1,1,0,0,1
"George Hendrick",283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,7e+05,195,75,1,0,0,1,1,0
"Glenn Braggs",215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,70000,210,75,1,0,1,0,1,0
"Glenn Davis",574,152,31,91,101,64,3,985,260,53,148,173,95,1253,111,11,215000,205,75,0,1,0,1,0,1
"Glenn Hubbard",408,94,4,42,36,66,9,3573,866,59,429,365,410,282,487,19,535000,150,69,0,1,0,1,0,1
"Glenn Wilson",584,158,15,70,84,42,5,2358,636,58,265,316,134,331,20,4,662500,190,73,0,1,1,0,0,1
"Gorman Thomas",315,59,16,45,36,58,13,4677,1051,268,681,782,697,0,0,0,60000,210,74,1,0,0,1,1,0
"Graig Nettles",354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,83,174,16,2e+05,180,72,0,1,0,1,0,1
"Greg Brock",325,76,16,33,52,37,5,1506,351,71,195,219,214,726,87,3,385000,200,75,0,1,0,1,1,0
"Greg Gagne",472,118,12,63,54,30,4,793,187,14,102,80,50,228,377,26,155000,185,71,1,0,0,1,1,0
"Greg Walker",282,78,13,37,51,29,5,1649,453,73,211,280,138,670,57,5,5e+05,205,75,1,0,0,1,1,0
"Hal McRae",278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,0,0,325000,180,71,1,0,0,1,1,0
"Harold Baines",570,169,21,72,88,38,7,3754,1077,140,492,589,263,295,15,5,950000,175,74,1,0,0,1,1,0
"Harold Reynolds",445,99,1,46,24,29,4,618,129,1,72,31,48,278,415,16,87500,165,71,1,0,0,1,1,0
"Harry Spilman",143,39,5,18,30,15,9,639,151,16,80,97,61,138,15,1,175000,180,73,0,1,0,1,0,1
"Herm Winningham",185,40,4,23,11,18,3,524,125,7,58,37,47,97,2,2,90000,185,71,0,1,1,0,0,1
"Howard Johnson",220,54,10,30,39,31,5,1185,299,40,145,154,128,50,136,20,297500,178,71,0,1,1,0,0,1
"Hubie Brooks",306,104,14,50,58,25,7,2954,822,55,313,377,187,116,222,15,750000,178,72,0,1,1,0,0,1
"Jack Clark",232,55,9,34,23,45,12,4405,1213,194,702,705,625,623,35,3,1300000,175,74,0,1,1,0,0,1
"Jack Howell",151,41,4,26,21,19,2,288,68,9,45,39,35,28,56,2,95000,180,72,1,0,0,1,1,0
"Jamie Quirk",219,47,8,24,26,17,12,1188,286,23,100,125,63,260,58,4,150000,190,76,1,0,0,1,1,0
"Jeff Reed",165,39,2,13,9,16,3,196,44,2,18,10,18,332,19,2,75000,190,74,1,0,0,1,0,1
"Jeff Stone",249,69,6,32,19,20,4,702,209,10,97,48,44,103,8,2,1e+05,175,72,0,1,1,0,0,1
"Jeffrey Leonard",341,95,6,48,42,20,10,2964,808,81,379,428,221,158,4,5,1e+05,200,74,0,1,0,1,0,1
"Jerry Hairston",225,61,5,32,26,26,11,1568,408,25,202,185,257,132,9,0,156667,170,70,1,0,0,1,1,0
"Jerry Mumphrey",309,94,5,37,32,26,13,4618,1330,57,616,522,436,161,3,3,6e+05,185,74,0,1,1,0,0,1
"Jerry Royster",257,66,5,31,26,32,14,3910,979,33,518,324,382,87,166,14,250000,165,72,0,1,0,1,1,0
"Jerry Willard",161,43,4,17,26,22,3,707,179,21,77,99,76,300,12,2,80000,195,74,1,0,0,1,1,0
"Jesse Barfield",589,170,40,107,108,69,6,2325,634,128,371,376,238,368,20,3,1237500,200,73,1,0,1,0,1,0
"Jim Dwyer",160,39,8,18,31,22,14,2128,543,56,304,268,298,33,3,0,275000,165,70,1,0,1,0,1,0
"Jim Gantner",497,136,7,58,38,26,11,3871,1066,40,450,367,241,304,347,10,850000,180,72,1,0,1,0,1,0
"Jim Morrison",537,147,23,58,88,47,10,2744,730,97,302,351,174,92,257,20,277500,175,71,0,1,1,0,0,1
"Jim Presley",616,163,27,83,107,32,3,1437,377,65,181,227,82,110,308,15,2e+05,200,73,1,0,0,1,1,0
"Jim Rice",618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,330,16,8,2412500,200,74,1,0,1,0,1,0
"Jim Sundberg",429,91,12,41,42,57,13,5590,1397,83,578,579,644,686,46,4,825000,190,72,1,0,0,1,0,1
"Jim Traber",212,54,13,28,44,18,2,233,59,13,31,46,20,243,23,5,60000,194,72,1,0,1,0,1,0
"Jody Davis",528,132,21,61,74,41,6,2641,671,97,273,383,226,885,105,8,1008333,192,76,0,1,1,0,0,1
"Joe Carter",663,200,29,108,121,32,4,1447,404,57,210,222,68,241,8,6,250000,215,75,1,0,1,0,1,0
"Joe Orsulak",401,100,2,60,19,28,4,876,238,2,126,44,55,193,11,4,135000,185,73,0,1,1,0,0,1
"Joel Skinner",315,73,5,23,37,16,4,450,108,6,38,46,28,227,15,3,110000,198,76,1,0,0,1,1,0
"Joel Youngblood",184,47,5,20,28,18,11,3327,890,74,419,382,304,49,2,0,450000,180,72,0,1,0,1,0,1
