Player Name,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,League,Division,PutOuts,Assists,Errors,Salary,Weight,Height,NewLeague
Al Newman,185,37,1,23,8,21,2,214,42,1,30,9,24,N,E,76,127,7,70000,175,69,A
Alan Ashby,315,81,7,24,38,39,14,3449,835,69,321,414,375,N,W,632,43,10,475000,185,74,N
Alan Trammell,574,159,21,107,75,59,10,4631,1300,90,702,504,488,A,E,238,445,22,517143,165,72,A
Alan Wiggins,239,60,0,30,11,22,6,1941,510,4,309,103,207,A,E,121,151,6,700000,160,74,A
Alex Trevino,202,53,4,31,26,27,9,1876,467,15,192,186,161,N,W,304,45,11,512500,165,70,N
Alfredo Griffin,594,169,4,74,51,35,11,4408,1133,19,501,336,194,A,W,282,421,25,750000,160,71,A
Alvin Davis,479,130,18,66,72,76,3,1624,457,63,224,266,263,A,W,880,82,14,480000,195,73,A
Andre Dawson,496,141,20,65,78,37,11,5628,1575,225,828,838,354,N,E,200,11,3,500000,180,75,N
Andre Thornton,401,92,17,49,66,65,13,5206,1332,253,784,890,866,A,E,0,0,0,1100000,200,75,A
Andres Galarraga,321,87,10,39,42,30,2,396,101,12,48,46,33,N,E,805,40,4,91500,235,75,N
Andres Thomas,323,81,6,26,32,8,2,341,86,6,32,34,8,N,W,143,290,19,75000,170,73,N
Andy Allanson,293,66,1,30,29,14,1,293,66,1,30,29,14,A,E,446,33,20,60000,220,77,A
Andy VanSlyke,418,113,13,48,61,47,4,1512,392,41,205,204,203,N,E,211,11,7,550000,,,N
Argenis Salazar,298,73,0,24,24,7,3,509,108,0,41,37,12,A,W,121,283,9,100000,,,A
Barry Bonds,413,92,16,72,48,65,1,413,92,16,72,48,65,N,E,280,9,5,100000,185,73,N
Ben Oglivie,346,98,5,31,53,30,16,5913,1615,235,784,901,560,A,E,0,0,0,766593,160,74,A
Bill Almon,196,43,7,29,27,30,13,3231,825,36,376,290,238,N,E,80,45,8,240000,180,75,N
Bill Buckner,629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,A,E,1067,157,14,776667,185,72,A
Bill Doran,550,152,6,92,37,81,5,2308,633,32,349,182,308,N,W,262,329,16,625000,175,71,N
Bill Madlock,379,106,10,38,60,30,14,6207,1906,146,859,803,571,N,W,72,170,24,850000,180,71,N
Bill Russell,216,54,0,21,18,15,18,7318,1926,46,796,627,483,N,W,103,84,5,45000,175,72,N
Bill Schroeder,217,46,7,32,19,9,4,694,160,32,86,76,32,A,E,307,25,1,180000,200,74,A
Billy Beane,183,39,3,20,15,11,3,201,42,3,20,16,11,A,W,118,0,0,65000,195,76,A
Billy Hatcher,419,108,6,55,36,22,3,591,149,8,80,46,31,N,W,226,7,4,110000,175,69,N
Billy Sample,200,57,6,23,14,14,9,2516,684,46,371,230,195,N,W,69,1,1,470000,175,69,N
BillyJo Robidoux,181,41,1,15,21,33,2,232,50,4,20,29,45,A,E,326,29,5,67500,,,A
Bip Roberts,241,61,1,34,12,14,1,241,61,1,34,12,14,N,W,166,172,10,60000,150,67,N
Bo Diaz,474,129,10,50,56,40,10,2331,604,61,246,327,166,N,W,732,83,13,750000,185,71,N
Bob Boone,22,10,1,4,2,1,6,84,26,2,9,9,3,A,W,812,84,11,853479,195,74,A
Bob Brenly,472,116,16,60,62,74,6,1924,489,67,242,251,240,N,W,518,55,3,600000,210,74,N
Bob Dernier,324,73,4,32,18,22,7,1931,491,13,291,108,180,N,E,222,3,3,708333,160,72,N
Bob Horner,517,141,27,70,87,52,9,3571,994,215,545,652,337,N,W,1378,102,8,1800000,195,73,N
Bob Kearney,204,49,6,23,25,12,7,1309,308,27,126,132,66,A,W,419,46,5,300000,190,72,A
Bob Melvin,268,60,5,24,25,15,2,350,78,5,34,29,18,N,W,442,59,6,90000,205,76,N
Bobby Bonilla,426,109,3,55,43,62,1,426,109,3,55,43,62,A,W,361,22,2,115000,210,75,N
Bobby Grich,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,A,W,127,221,7,500000,180,74,A
Bobby Meacham,161,36,0,19,10,17,4,1053,244,3,156,86,107,A,E,70,149,12,NA,,,A
Brett Butler,587,163,4,92,51,70,6,2695,747,17,442,198,317,A,E,434,9,3,765000,160,70,A
Brian Downing,513,137,20,90,95,90,14,5201,1382,166,763,734,784,A,W,267,5,3,900000,170,70,A
Brook Jacoby,583,168,17,83,80,56,5,1646,452,44,219,208,136,A,E,109,292,25,612500,175,71,A
Bruce Bochte,407,104,6,57,43,65,12,5233,1478,100,643,658,653,A,W,912,88,9,572500,195,75,A
Bruce Bochy,127,32,8,16,22,14,8,727,180,24,67,82,56,N,W,202,22,2,135000,205,75,N
Buddy Bell,568,158,20,89,75,73,15,8068,2273,177,1045,993,732,N,W,105,290,10,775000,180,73,N
Buddy Biancalana,190,46,2,24,8,15,5,479,102,5,65,23,39,A,W,102,177,16,175000,160,71,A
Butch Wynegar,194,40,7,19,29,30,11,4183,1069,64,486,493,608,A,E,325,22,2,733333,190,73,A
Cal Ripken,627,177,25,98,81,70,6,3210,927,133,529,472,313,A,E,240,482,13,1350000,200,76,A
Candy Maldonado,405,102,18,49,85,20,6,950,231,29,99,138,64,N,W,161,10,3,415000,185,72,N
Carlton Fisk,457,101,14,42,63,22,17,6521,1767,281,1003,977,619,A,W,389,39,4,875000,200,75,A
Carmelo Martinez,244,58,9,28,25,35,4,1335,333,49,164,179,194,N,W,142,14,2,340000,190,74,N
Carmen Castillo,205,57,8,34,32,9,5,756,192,32,117,107,51,A,E,58,4,4,247500,,,A
Carney Lansford,591,168,19,80,72,39,9,4478,1307,113,634,563,319,A,W,67,147,4,1200000,195,74,A
Cecil Cooper,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,A,E,697,61,9,607322,165,74,A
Charlie Moore,235,61,3,24,39,21,14,3926,1029,35,441,401,333,A,E,425,43,4,402500,180,71,A
Chet Lemon,403,101,12,45,53,39,12,5150,1429,166,747,666,526,A,E,316,6,5,675000,190,72,A
Chili Davis,526,146,13,71,70,84,6,2648,715,77,352,342,289,N,W,303,9,9,815000,195,75,N
Chris Bando,254,68,2,28,26,22,6,999,236,21,108,117,118,A,E,359,30,4,305000,195,72,A
Chris Brown,416,132,7,57,49,33,3,932,273,24,113,121,80,N,W,73,177,18,215000,185,72,N
Chris Speier,155,44,6,21,23,15,16,6631,1634,98,698,661,777,N,E,53,88,3,275000,175,73,N
Cliff Johnson,19,7,0,1,2,1,4,41,13,1,3,4,4,A,E,0,0,0,725000,215,76,A
Cory Snyder,416,113,24,58,69,16,1,416,113,24,58,69,16,A,E,203,70,10,90000,175,76,A
Craig Reynolds,313,78,6,32,41,12,12,3742,968,35,409,321,170,N,W,106,206,7,416667,175,73,N
Curt Ford,214,53,2,30,29,23,2,226,59,2,32,32,27,N,E,109,7,3,70000,150,70,N
Curt Wilkerson,236,56,0,27,15,11,4,1115,270,1,116,64,57,A,W,125,199,13,230000,158,69,A
Dale Murphy,614,163,29,89,83,75,11,5017,1388,266,813,822,617,N,W,303,6,6,1900000,210,76,N
Dale Sveum,317,78,7,35,35,32,1,317,78,7,35,35,32,A,E,45,122,26,70000,185,74,A
Damaso Garcia,424,119,6,57,46,13,9,3651,1046,32,461,301,112,A,E,224,286,8,850000,165,73,N
Dan Gladden,351,97,4,55,29,39,4,1258,353,16,196,110,117,N,W,226,7,3,210000,180,71,A
Dan Pasqua,280,82,16,44,45,47,2,428,113,25,61,70,63,A,E,148,4,2,110000,203,72,A
Dann Bilardello,191,37,4,12,17,14,4,773,163,16,61,74,52,N,E,391,38,8,80000,185,72,N
Danny Heep,195,55,5,24,33,30,8,1313,338,25,144,149,153,N,E,83,2,1,350000,185,71,N
Danny Tartabull,511,138,25,76,96,61,3,592,164,28,87,110,71,A,W,157,7,8,145000,185,73,A
Darnell Coles,521,142,20,67,86,45,4,815,205,22,99,103,78,A,E,107,242,23,105000,185,73,A
Darrell Evans,507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,A,E,808,108,2,535000,200,74,A
Darrell Porter,155,41,12,21,29,22,16,5409,1338,181,746,805,875,A,W,165,9,1,260000,193,72,A
Darren Daulton,138,31,8,18,21,38,3,244,53,12,33,32,55,N,E,244,21,4,80000,195,74,N
Darryl Motley,227,46,7,23,20,12,5,1325,324,44,156,158,67,A,W,92,2,2,257500,196,69,A
Darryl Strawberry,475,123,27,76,93,72,4,1810,471,108,292,343,267,N,E,226,10,6,1220000,190,78,N
Daryl Boston,199,53,5,29,22,21,3,514,120,8,57,40,39,A,W,152,3,5,75000,185,75,A
Dave Anderson,216,53,1,31,15,22,4,926,210,9,118,69,114,N,W,73,152,11,225000,185,74,N
Dave Collins,419,113,1,44,27,44,12,4484,1231,32,612,344,422,A,E,211,2,1,700000,175,71,A
Dave Concepcion,311,81,3,42,30,26,17,8247,2198,100,950,909,690,N,W,153,223,10,320000,155,74,N
Dave Henderson,388,103,15,59,47,39,6,2174,555,80,285,274,186,A,W,182,9,4,325000,210,74,A
Dave Kingman,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,A,W,463,32,8,730000,210,78,A
Dave Parker,637,174,31,89,116,56,14,6727,2024,247,978,1093,495,N,W,278,9,9,1041667,230,77,N
Dave Winfield,565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,A,E,292,9,5,1861460,220,78,A
Davey Lopes,255,70,7,49,35,43,15,6311,1661,154,1019,608,820,N,E,51,54,8,450000,170,69,N
Denny Walling,382,119,13,54,58,36,12,2133,594,41,287,294,227,N,W,59,156,9,595000,180,72,N
Dick Schofield,458,114,13,67,57,48,4,1350,298,28,160,123,122,A,W,246,389,18,475000,175,70,A
Dickie Thon,278,69,3,24,21,29,8,2079,565,32,258,192,162,N,W,142,210,10,600000,160,71,N
Don Baylor,585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,A,E,0,0,0,950000,190,73,A
Don Mattingly,677,238,31,117,113,53,5,2223,737,93,349,401,171,A,E,1377,100,6,1975000,175,72,A
Don Slaught,314,83,13,39,46,16,5,1457,405,28,156,159,76,A,W,533,40,4,431500,190,73,A
Donnie Hill,339,96,4,37,29,23,4,1064,290,11,123,108,55,A,W,104,213,9,275000,160,70,A
Doug Baker,24,3,0,1,0,2,3,159,28,0,20,12,9,A,W,80,4,0,NA,165,69,A
Doug DeCinces,512,131,26,69,96,52,14,5347,1397,221,712,815,548,A,W,119,216,12,850000,190,74,A
Dwayne Murphy,329,83,9,50,39,56,9,3828,948,145,575,528,635,A,W,276,6,2,600000,185,73,A
Dwight Evans,529,137,26,86,97,97,15,6661,1785,291,1082,949,989,A,E,280,10,5,933333,180,74,A
Ed Romero,233,49,2,41,23,18,8,1350,336,7,166,122,106,A,E,102,132,10,375000,160,71,A
Eddie Milner,424,110,15,70,47,36,7,2130,544,38,335,174,258,N,W,292,6,3,490000,173,71,N
Eddie Murray,495,151,17,61,84,78,10,5624,1679,275,884,1015,709,A,E,1045,88,13,2460000,190,74,A
Enos Cabell,277,71,2,27,29,14,15,5952,1647,60,753,596,259,N,W,360,32,5,450000,170,76,N
Eric Davis,415,115,27,97,71,68,3,711,184,45,156,119,99,N,W,274,2,7,300000,165,74,N
Ernest Riles,524,132,9,69,47,54,2,972,260,14,123,92,90,A,E,212,327,20,NA,,,A
Ernie Whitt,395,106,16,48,56,35,10,2303,571,86,266,323,248,A,E,709,41,7,325000,200,74,A
Floyd Rayford,210,37,8,15,19,15,6,994,244,36,107,114,53,A,E,40,115,15,310000,190,70,A
Frank White,566,154,22,76,84,43,14,6100,1583,131,743,693,300,A,W,316,439,10,750000,165,71,A
Franklin Stubbs,420,95,23,55,58,37,3,646,139,31,77,77,61,N,W,206,10,7,65000,215,74,N
Fred Lynn,397,114,23,67,67,53,13,5589,1632,241,906,926,716,A,E,244,2,4,1190000,185,73,A
Garry Templeton,510,126,2,42,44,35,11,5562,1578,44,703,519,256,N,W,207,358,20,737500,175,71,N
Garth Iorg,327,85,3,30,44,20,8,2140,568,16,216,208,93,A,E,91,185,12,362500,170,71,A
Gary Carter,490,125,24,81,105,62,13,6063,1646,271,847,999,680,N,E,869,62,8,1925571,205,74,N
Gary Gaetti,596,171,34,91,108,52,6,2862,728,107,361,401,224,A,W,118,334,21,900000,180,72,A
Gary Matthews,370,96,21,49,46,60,15,6986,1972,231,1070,955,921,N,E,137,5,9,733333,185,74,N
Gary Pettis,539,139,5,93,58,69,5,1469,369,12,247,126,198,A,W,462,9,7,400000,165,73,A
Gary Redus,340,84,11,62,33,47,5,1516,376,42,284,141,219,N,E,185,8,4,400000,180,73,A
Gary Ward,380,120,5,54,51,31,8,3118,900,92,444,419,240,A,W,237,8,1,600000,195,74,A
George Bell,641,198,31,101,108,41,5,2129,610,92,297,319,117,A,E,269,17,10,1175000,190,73,A
George Brett,441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,A,W,97,218,16,1500000,185,72,A
George Foster,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,N,E,96,4,4,60000,180,73,N
George Hendrick,283,77,14,45,47,26,16,6840,1910,259,915,1067,546,A,W,144,6,5,700000,195,75,A
Glenn Braggs,215,51,4,19,18,11,1,215,51,4,19,18,11,A,E,116,5,12,70000,210,75,A
Glenn Davis,574,152,31,91,101,64,3,985,260,53,148,173,95,N,W,1253,111,11,215000,205,75,N
Glenn Hubbard,408,94,4,42,36,66,9,3573,866,59,429,365,410,N,W,282,487,19,535000,150,69,N
Glenn Wilson,584,158,15,70,84,42,5,2358,636,58,265,316,134,N,E,331,20,4,662500,190,73,N
Gorman Thomas,315,59,16,45,36,58,13,4677,1051,268,681,782,697,A,W,0,0,0,60000,210,74,A
Graig Nettles,354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,N,W,83,174,16,200000,180,72,N
Greg Brock,325,76,16,33,52,37,5,1506,351,71,195,219,214,N,W,726,87,3,385000,200,75,A
Greg Gagne,472,118,12,63,54,30,4,793,187,14,102,80,50,A,W,228,377,26,155000,185,71,A
Greg Walker,282,78,13,37,51,29,5,1649,453,73,211,280,138,A,W,670,57,5,500000,205,75,A
Hal McRae,278,70,7,22,37,18,18,7186,2081,190,935,1088,643,A,W,0,0,0,325000,180,71,A
Harold Baines,570,169,21,72,88,38,7,3754,1077,140,492,589,263,A,W,295,15,5,950000,175,74,A
Harold Reynolds,445,99,1,46,24,29,4,618,129,1,72,31,48,A,W,278,415,16,87500,165,71,A
Harry Spilman,143,39,5,18,30,15,9,639,151,16,80,97,61,N,W,138,15,1,175000,180,73,N
Herm Winningham,185,40,4,23,11,18,3,524,125,7,58,37,47,N,E,97,2,2,90000,185,71,N
Howard Johnson,220,54,10,30,39,31,5,1185,299,40,145,154,128,N,E,50,136,20,297500,178,71,N
Hubie Brooks,306,104,14,50,58,25,7,2954,822,55,313,377,187,N,E,116,222,15,750000,178,72,N
Jack Clark,232,55,9,34,23,45,12,4405,1213,194,702,705,625,N,E,623,35,3,1300000,175,74,N
Jack Howell,151,41,4,26,21,19,2,288,68,9,45,39,35,A,W,28,56,2,95000,180,72,A
Jamie Quirk,219,47,8,24,26,17,12,1188,286,23,100,125,63,A,W,260,58,4,150000,190,76,A
Jeff Reed,165,39,2,13,9,16,3,196,44,2,18,10,18,A,W,332,19,2,75000,190,74,N
Jeff Stone,249,69,6,32,19,20,4,702,209,10,97,48,44,N,E,103,8,2,100000,175,72,N
Jeffrey Leonard,341,95,6,48,42,20,10,2964,808,81,379,428,221,N,W,158,4,5,100000,200,74,N
Jerry Hairston,225,61,5,32,26,26,11,1568,408,25,202,185,257,A,W,132,9,0,156667,170,70,A
Jerry Mumphrey,309,94,5,37,32,26,13,4618,1330,57,616,522,436,N,E,161,3,3,600000,185,74,N
Jerry Royster,257,66,5,31,26,32,14,3910,979,33,518,324,382,N,W,87,166,14,250000,165,72,A
Jerry Willard,161,43,4,17,26,22,3,707,179,21,77,99,76,A,W,300,12,2,80000,195,74,A
Jesse Barfield,589,170,40,107,108,69,6,2325,634,128,371,376,238,A,E,368,20,3,1237500,200,73,A
Jim Dwyer,160,39,8,18,31,22,14,2128,543,56,304,268,298,A,E,33,3,0,275000,165,70,A
Jim Gantner,497,136,7,58,38,26,11,3871,1066,40,450,367,241,A,E,304,347,10,850000,180,72,A
Jim Morrison,537,147,23,58,88,47,10,2744,730,97,302,351,174,N,E,92,257,20,277500,175,71,N
Jim Presley,616,163,27,83,107,32,3,1437,377,65,181,227,82,A,W,110,308,15,200000,200,73,A
Jim Rice,618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,A,E,330,16,8,2412500,200,74,A
Jim Sundberg,429,91,12,41,42,57,13,5590,1397,83,578,579,644,A,W,686,46,4,825000,190,72,N
Jim Traber,212,54,13,28,44,18,2,233,59,13,31,46,20,A,E,243,23,5,60000,194,72,A
Jody Davis,528,132,21,61,74,41,6,2641,671,97,273,383,226,N,E,885,105,8,1008333,192,76,N
Joe Carter,663,200,29,108,121,32,4,1447,404,57,210,222,68,A,E,241,8,6,250000,215,75,A
Joe Orsulak,401,100,2,60,19,28,4,876,238,2,126,44,55,N,E,193,11,4,135000,185,73,N
Joel Skinner,315,73,5,23,37,16,4,450,108,6,38,46,28,A,W,227,15,3,110000,198,76,A
Joel Youngblood,184,47,5,20,28,18,11,3327,890,74,419,382,304,N,W,49,2,0,450000,180,72,N
